Trip_Distance,Type_of_Cab,Customer_Since_Months,Life_Style_Index,Confidence_Life_Style_Index,Destination_Type,Customer_Rating,Cancellation_Last_1Month,Var1,Var2,Var3,Gender,Cluster
22.3,4,7.0,2.65026,2,0,2.66375,1,39.0,50,84,1,2
107.77,2,10.0,2.95507,1,0,2.315,0,43.0,49,86,1,0
27.07,3,0.0,2.69554,2,0,4.39375,2,63.0,54,73,1,2
23.08,3,3.0,2.93155,0,3,2.58875,0,71.0,54,78,1,2
34.82,1,0.0,2.86901,0,0,3.48625,0,75.0,49,69,1,2
37.58,2,10.0,2.99978,0,5,2.57,1,31.0,47,67,0,2
106.59,3,3.0,3.33063,1,2,3.88875,4,46.0,51,92,1,0
66.18,0,10.0,3.00124,2,0,3.27625,4,33.0,51,70,0,0
29.2,2,3.0,2.66438,0,1,2.75,0,93.0,53,71,1,2
59.45,3,10.0,2.80722,1,0,0.83375,0,57.0,47,83,1,1
3.47,2,10.0,2.60245,0,0,3.1625,0,41.0,51,66,1,2
25.65,4,2.0,2.66786,1,0,3.07375,1,105.0,52,70,1,2
106.58,1,0.0,3.24252,1,0,3.2175,2,45.0,55,95,1,0
31.75,2,3.0,2.87022,0,0,2.72625,1,41.0,54,81,1,1
86.2,2,10.0,3.17734,0,1,3.8375,0,58.0,58,81,1,0
78.43,3,10.0,2.80833,2,0,2.4125,0,70.0,55,90,1,1
108.93,3,0.0,3.53792,1,0,4.67625,3,79.0,54,75,1,0
20.69,1,8.0,2.44908,2,3,2.52125,2,72.0,45,61,1,2
20.34,2,10.0,2.74395,0,0,4.80625,0,96.0,47,72,1,2
46.77,2,9.0,2.85635,2,0,2.13375,0,71.0,47,71,1,0
49.18,0,10.0,2.9318,0,1,3.32375,0,73.0,50,76,1,2
105.85,3,0.0,2.83226,1,0,3.39375,2,41.0,50,70,1,0
81.97,3,10.0,2.86097,2,3,1.82875,1,83.0,56,86,1,1
39.7,1,10.0,2.78495,1,0,3.035,1,79.0,51,82,1,2
48.92,0,10.0,2.9933,1,0,3.82625,0,58.0,47,68,1,0
48.93,3,4.0,2.69105,1,10,2.66875,0,84.0,50,71,1,2
107.69,4,3.0,3.30051,1,3,3.06625,1,75.0,62,108,1,1
18.96,1,4.0,2.59561,0,0,2.39,1,86.0,76,99,1,1
56.15,0,10.0,2.72318,0,0,2.54375,0,111.0,50,81,1,2
60.05,1,9.0,2.69862,2,0,2.33,1,108.0,53,74,1,0
29.24,1,4.0,2.81802,1,3,4.10875,1,87.0,50,75,1,2
32.75,0,1.0,2.52938,0,3,1.72625,1,56.0,61,98,1,1
16.42,1,4.0,2.95545,0,3,2.985,1,76.0,54,77,0,2
47.24,1,8.0,2.69999,2,0,1.4475,1,67.0,52,92,1,1
30.78,3,10.0,2.69912,0,0,1.93125,0,88.0,50,76,1,2
17.51,3,8.0,2.87294,2,0,3.67,0,39.0,48,87,0,0
29.28,3,2.0,2.53694,1,1,1.17875,0,97.0,62,98,1,1
92.63,2,1.0,3.19329,1,2,3.68375,2,49.0,50,83,1,0
11.19,2,9.0,2.47776,0,1,3.94875,2,78.0,50,69,1,2
73.32,0,1.0,3.37014,1,0,4.135,1,102.0,52,71,1,0
28.74,0,10.0,2.77123,0,0,2.39,0,78.0,52,82,0,2
93.27,2,2.0,3.20548,1,0,2.31625,0,45.0,52,78,0,0
41.13,4,0.0,2.69311,1,0,3.4225,0,59.0,50,65,1,2
8.82,0,1.0,2.83549,0,2,1.835,0,60.0,51,79,1,2
14.74,2,10.0,2.99703,1,2,1.6425,0,63.0,56,86,1,1
29.97,0,8.0,2.77932,0,0,3.1625,2,78.0,47,88,1,2
23.58,0,10.0,2.90267,0,0,2.79625,1,54.0,53,76,0,2
65.73,0,10.0,3.30202,2,0,3.95875,1,58.0,49,80,1,0
32.14,3,2.0,2.81827,0,1,3.13,1,46.0,55,85,1,1
41.83,1,10.0,2.74486,2,0,3.025,0,34.0,55,85,0,1
106.71,4,2.0,3.32411,1,1,4.3075,0,59.0,48,88,1,0
43.32,3,10.0,2.75442,0,0,0.89875,1,36.0,55,84,1,1
108.94,1,10.0,3.4727,1,0,2.26125,0,60.0,50,94,0,0
63.05,1,2.0,3.08588,1,0,4.0675,0,40.0,45,79,1,0
62.36,2,1.0,2.75583,0,0,3.7325,1,76.0,48,73,1,2
30.35,4,2.0,2.70292,0,1,3.6825,2,70.0,50,67,0,2
19.81,1,10.0,2.5259,1,0,1.3075,2,51.0,55,74,0,1
19.95,1,1.0,2.8452,2,0,2.32125,0,31.0,47,74,1,2
92.5,4,4.0,2.81407,1,0,3.60625,1,41.0,51,70,1,0
28.52,0,5.0,2.84354,0,1,4.04,1,87.0,55,82,0,2
66.75,1,10.0,2.86874,2,0,2.53875,0,79.0,48,80,1,0
34.62,0,10.0,2.92443,2,1,3.4775,0,75.0,50,69,1,0
45.1,2,3.0,2.78137,1,0,1.60375,1,73.0,50,76,0,2
46.78,2,10.0,2.91506,1,0,2.08625,2,36.0,47,77,1,0
56.52,3,10.0,2.83979,2,0,2.57875,0,43.0,54,83,0,0
53.92,2,3.0,3.22876,1,0,4.77125,1,51.0,45,62,1,0
85.35,3,5.0,2.92786,1,0,2.63125,0,37.0,50,75,1,0
36.36,3,1.0,2.73755,0,0,3.18375,0,90.0,46,69,1,2
61.09,3,6.0,2.65585,1,0,2.8525,1,54.0,52,74,0,0
62.13,2,10.0,3.17036,0,0,3.1925,0,54.0,47,75,1,0
3.89,1,10.0,2.5541,0,9,2.47625,0,41.0,56,95,1,2
50.46,2,10.0,2.94567,0,0,2.145,1,54.0,64,82,1,1
29.4,1,3.0,2.83064,0,11,3.03,0,76.0,54,96,1,2
54.84,2,5.0,2.85953,1,0,3.30375,0,36.0,56,73,1,0
44.17,1,2.0,2.73486,2,1,2.70875,0,35.0,49,64,1,2
43.67,2,3.0,2.70031,0,0,3.68125,1,46.0,57,91,1,1
18.89,2,1.0,2.70689,2,0,4.485,3,107.0,45,59,1,2
85.25,0,0.0,3.35612,2,1,3.99,0,55.0,50,75,0,0
30.5,0,0.0,2.95151,1,2,4.5425,0,84.0,50,80,0,2
31.32,0,10.0,2.98108,0,1,2.71,0,92.0,50,73,1,2
55.56,0,10.0,2.75493,1,3,3.44375,2,89.0,49,76,1,2
44.58,2,10.0,2.69382,1,0,1.40875,2,46.0,49,72,1,2
18.88,3,2.0,2.62829,0,10,1.99625,0,44.0,53,68,1,2
79.18,4,10.0,2.81008,0,1,1.07875,0,103.0,71,110,1,1
55.31,0,10.0,2.83887,2,0,3.77625,2,87.0,55,76,1,0
93.14,4,10.0,3.09413,2,0,2.81125,1,63.0,62,89,1,1
17.93,1,3.0,2.80958,2,1,3.98625,1,61.0,51,70,0,2
91.42,3,10.0,3.07726,1,5,3.19,0,44.0,49,81,0,0
18.27,3,10.0,2.7017,0,1,1.9725,1,51.0,56,90,1,1
42.93,4,4.0,3.12483,2,1,2.94625,0,65.0,53,86,1,0
52.89,2,10.0,2.72941,1,0,4.48625,0,40.0,48,72,0,0
76.84,4,10.0,2.85715,2,0,0.695,1,48.0,55,69,1,0
79.91,1,8.0,2.83225,1,0,1.14625,0,107.0,50,89,1,1
42.32,1,6.0,2.71425,2,0,2.2075,0,68.0,51,67,1,2
15.59,1,1.0,2.68816,0,1,3.43,2,97.0,51,83,1,2
27.03,0,0.0,2.82764,2,0,2.475,1,89.0,50,98,1,1
47.86,2,7.0,2.69785,2,1,3.43375,2,61.0,52,73,0,0
25.34,2,10.0,2.43028,0,0,3.11375,1,51.0,44,65,1,2
36.83,3,8.0,2.85297,2,1,2.00625,0,71.0,54,86,0,1
77.47,2,10.0,2.75686,2,1,1.59375,0,71.0,48,72,0,0
55.17,2,10.0,2.78328,1,0,2.0875,0,104.0,49,67,1,2
13.95,0,1.0,2.67939,1,1,1.91125,1,58.0,55,92,0,1
84.36,1,10.0,2.99571,2,0,4.7125,0,67.0,47,67,1,0
22.22,2,10.0,3.10307,2,3,3.2675,1,68.0,59,88,0,1
24.46,0,10.0,3.00265,0,0,3.39125,2,77.0,53,87,1,1
45.7,1,4.0,3.05246,0,2,3.28625,0,111.0,50,75,1,2
5.22,0,1.0,2.50994,0,8,2.98125,1,109.0,47,67,0,2
61.7,2,7.0,2.99982,2,0,1.26625,1,35.0,59,94,1,1
12.01,3,10.0,2.77381,0,2,1.905,2,42.0,58,89,1,1
64.42,0,10.0,2.71551,2,0,2.7925,0,73.0,48,67,1,0
41.99,3,2.0,3.04506,0,0,2.8725,3,59.0,56,86,1,1
92.4,2,10.0,2.87419,1,1,2.09375,0,44.0,53,77,1,0
78.43,3,10.0,2.944,1,0,2.8425,0,64.0,48,81,1,0
37.29,1,3.0,2.58253,1,2,1.2725,1,48.0,45,60,1,2
85.18,1,5.0,3.03726,0,0,3.30125,1,96.0,48,70,1,0
108.4,1,10.0,3.25362,1,0,2.78125,0,58.0,59,88,1,0
11.27,2,10.0,3.06729,2,3,1.995,1,103.0,62,101,1,1
21.52,2,4.0,3.02439,2,0,3.6225,1,79.0,54,66,1,0
93.76,0,1.0,2.90694,1,0,0.90875,1,38.0,50,70,1,0
107.89,0,0.0,3.288,2,1,2.5825,3,78.0,56,78,1,0
85.48,4,10.0,2.87767,2,1,3.00375,1,105.0,48,74,0,0
46.94,0,6.0,2.99687,2,0,3.3475,2,69.0,52,72,0,0
26.5,2,10.0,3.0979,1,2,4.36375,3,84.0,49,98,0,0
77.91,3,4.0,2.77409,2,0,1.075,0,81.0,51,69,1,0
14.73,2,10.0,2.77184,0,1,2.90375,2,57.0,53,80,1,2
5.4,2,4.0,3.00024,0,6,3.405,0,55.0,47,80,1,2
58.31,3,4.0,3.23724,1,1,4.14125,1,49.0,51,64,1,0
64.53,4,8.0,2.89672,2,0,3.23125,0,92.0,52,76,0,0
11.28,2,0.0,2.77763,2,3,4.385,2,50.0,57,72,1,2
46.27,3,4.0,2.9409,2,0,3.1025,1,31.0,50,92,0,0
91.75,3,4.0,3.03742,1,0,4.03875,0,32.0,49,70,1,0
108.56,3,10.0,3.14661,1,5,1.20625,1,66.0,56,97,1,1
91.28,0,10.0,3.06374,1,0,0.185,1,85.0,52,90,0,1
27.83,4,1.0,2.38157,0,0,1.70625,2,45.0,53,73,1,2
30.97,0,2.0,3.23068,2,0,3.215,0,55.0,52,74,0,0
106.52,2,3.0,2.99942,1,0,3.23,0,64.0,52,82,1,0
64.13,1,10.0,3.09469,2,0,3.56125,0,95.0,52,75,1,0
45.73,3,9.0,2.6043,2,10,3.36875,1,102.0,48,62,0,2
109.22,1,1.0,3.18966,1,1,2.66125,0,56.0,57,90,1,0
23.63,1,2.0,2.74909,1,1,3.43625,0,68.0,48,70,1,2
85.77,2,10.0,3.22368,2,2,2.9275,1,36.0,50,69,1,0
64.42,1,2.0,2.96689,2,0,4.25625,0,81.0,46,75,1,0
30.63,2,6.0,3.17742,0,6,4.6875,0,60.0,46,67,0,2
78.22,1,0.0,2.93244,2,0,2.68625,0,108.0,48,75,1,0
58.46,3,6.0,2.93187,0,0,2.86625,2,39.0,61,81,1,1
20.0,1,4.0,2.6034,2,0,3.1775,0,48.0,49,79,0,2
81.01,2,1.0,2.73402,2,1,2.58875,0,42.0,54,74,1,0
17.75,2,5.0,2.6532,0,2,3.12625,1,75.0,49,67,0,2
92.88,4,5.0,2.82778,1,0,1.1825,1,94.0,52,84,1,1
36.61,2,4.0,2.72244,2,0,3.46875,3,104.0,48,65,0,2
25.41,2,1.0,2.81662,0,0,4.33625,0,75.0,46,57,1,2
36.87,2,10.0,2.78063,2,0,3.39,0,80.0,47,77,1,0
106.85,3,5.0,3.14791,2,0,3.48,1,40.0,51,89,1,0
38.06,4,0.0,2.55927,0,1,3.71625,0,92.0,43,61,1,2
16.58,2,3.0,2.53584,2,0,1.245,0,69.0,46,61,1,2
30.28,1,2.0,2.70164,0,1,4.01875,0,87.0,52,70,1,2
7.71,2,3.0,2.59336,0,7,3.07625,2,50.0,47,58,1,2
66.98,1,3.0,2.80982,2,0,2.69375,1,57.0,53,90,1,1
32.5,3,6.0,2.92663,2,1,3.6,2,46.0,49,73,1,0
24.29,1,10.0,2.69309,2,1,3.7575,2,78.0,55,84,0,1
14.77,2,3.0,3.0612,1,4,3.53625,0,37.0,55,87,1,1
54.63,1,7.0,2.80869,0,0,2.455,0,59.0,56,72,1,2
35.73,2,10.0,2.93163,1,0,4.02375,0,57.0,51,73,1,0
36.18,2,2.0,2.8101,2,0,2.48,2,50.0,60,96,1,1
30.29,1,10.0,2.82684,0,0,3.88,0,86.0,54,76,0,2
28.54,2,3.0,2.83055,0,1,3.86375,1,70.0,49,72,1,2
54.43,3,10.0,2.9774,1,7,4.0925,2,36.0,58,93,1,1
6.12,1,1.0,2.82776,0,0,3.785,0,55.0,51,89,1,2
43.55,2,3.0,2.84799,2,0,3.08375,0,47.0,57,97,1,1
36.12,1,10.0,2.74245,2,0,1.4925,1,46.0,48,63,1,2
25.5,2,10.0,2.93076,1,0,3.9925,2,56.0,55,75,0,0
107.67,4,6.0,3.14493,2,0,2.50875,1,50.0,52,76,1,0
46.38,1,10.0,2.81594,0,0,4.74875,0,69.0,51,73,1,2
27.83,1,3.0,2.82539,0,0,2.31125,0,111.0,49,76,1,2
108.42,3,10.0,3.03507,1,1,2.615,3,45.0,59,82,1,1
51.34,2,10.0,2.97941,2,2,2.33875,2,103.0,51,71,1,0
60.41,1,10.0,2.98752,1,0,4.0625,0,40.0,48,75,1,0
35.55,4,1.0,3.06135,1,0,2.54875,2,50.0,52,75,1,0
60.3,0,8.0,3.05698,1,0,2.23875,0,72.0,52,81,1,0
29.63,1,4.0,2.51283,0,9,2.60875,3,73.0,55,73,0,2
2.36,4,4.0,2.54092,1,4,3.68375,2,76.0,51,77,1,2
23.74,3,10.0,2.99578,0,0,3.57,0,34.0,48,70,0,2
7.94,2,6.0,2.67149,0,3,2.41625,1,104.0,49,75,1,2
23.11,2,6.0,2.91284,2,0,3.8225,0,63.0,52,72,1,0
44.71,1,8.0,2.53477,1,1,3.985,0,44.0,50,74,1,2
76.22,1,10.0,2.81591,1,0,2.05375,0,59.0,51,97,1,1
35.97,3,6.0,2.53656,0,0,3.55125,2,47.0,46,64,0,2
20.91,2,2.0,2.66219,2,2,3.0625,2,86.0,47,64,1,2
76.19,3,10.0,2.81527,1,0,2.4275,0,55.0,49,95,0,0
31.51,2,10.0,2.78585,0,1,3.77375,1,102.0,52,75,0,2
43.1,2,10.0,2.81295,0,0,3.3125,2,81.0,49,77,0,2
54.45,1,8.0,2.70542,0,0,2.675,1,64.0,52,78,1,2
41.65,0,4.0,3.32167,1,1,3.69375,0,71.0,53,89,1,0
46.71,2,3.0,3.16259,0,0,3.47625,1,48.0,48,69,1,0
36.14,2,8.0,2.99204,1,1,2.41125,1,48.0,52,69,0,0
22.65,1,3.0,2.77459,0,0,2.62,1,36.0,56,80,1,1
22.96,2,10.0,2.74719,0,0,3.13875,1,96.0,48,71,1,2
14.42,2,7.0,2.68475,1,1,0.99125,0,43.0,56,74,1,1
18.66,2,0.0,2.80552,1,11,3.52875,3,86.0,53,89,1,2
45.98,1,6.0,2.99927,0,0,3.94875,0,110.0,48,76,0,2
18.77,3,10.0,2.95839,2,3,2.8425,1,46.0,61,108,0,1
5.94,4,0.0,2.47579,0,3,4.605,0,63.0,43,54,1,2
36.55,1,4.0,2.93401,0,0,3.195,0,94.0,56,89,0,1
56.76,2,10.0,3.0303,0,0,3.445,0,70.0,52,73,1,0
22.25,2,2.0,2.56605,2,0,3.31375,0,45.0,47,60,0,2
30.99,0,5.0,3.16853,2,0,4.69,0,83.0,49,69,1,0
99.33,4,10.0,3.01437,1,0,2.015,1,57.0,68,118,0,1
18.6,0,4.0,2.96864,2,4,3.84875,0,86.0,55,75,1,2
32.39,2,10.0,2.7769,2,1,0.51625,0,68.0,48,64,0,2
87.61,1,10.0,3.26103,1,0,3.5925,2,94.0,51,71,1,0
46.3,0,5.0,3.2536,0,1,3.9975,0,46.0,51,85,1,0
54.81,2,10.0,2.67386,2,0,3.465,1,70.0,59,76,0,1
61.89,4,1.0,2.69347,1,0,1.77875,1,30.0,48,69,1,2
92.65,4,2.0,2.933,1,0,2.08,2,95.0,51,75,1,0
74.85,1,5.0,2.97946,1,2,3.77125,1,62.0,49,78,0,0
107.96,2,10.0,3.3989,2,0,4.65625,1,40.0,48,85,1,0
83.54,1,7.0,3.01856,1,0,2.32625,0,111.0,53,80,1,0
23.2,1,2.0,2.98409,2,0,3.3775,0,34.0,47,72,1,0
30.82,1,10.0,2.8651,2,2,3.65,2,38.0,46,61,0,0
75.62,3,8.0,2.91812,0,2,2.5375,0,91.0,66,103,1,1
78.45,2,10.0,2.66182,1,2,3.46375,0,104.0,46,70,1,2
30.51,3,1.0,2.84461,1,0,1.01,0,31.0,48,73,1,2
10.89,2,3.0,2.92048,2,4,3.70375,2,77.0,51,80,1,2
17.85,1,10.0,2.94481,0,0,1.7825,2,90.0,59,84,1,1
38.88,1,1.0,2.79979,1,0,1.87875,0,70.0,64,85,1,1
82.19,0,10.0,2.83587,2,0,1.0825,0,36.0,58,86,1,1
31.66,3,7.0,3.18346,0,2,3.37875,0,39.0,51,83,1,0
30.07,1,0.0,3.01432,1,1,3.96125,0,36.0,49,65,0,2
41.61,1,10.0,2.98322,2,0,2.07375,0,44.0,52,79,0,0
39.63,3,10.0,3.01462,0,3,3.83,1,106.0,49,65,1,2
46.34,1,10.0,3.00288,2,0,2.61625,1,60.0,55,81,1,0
44.61,0,10.0,3.11224,1,2,4.18,2,57.0,50,79,1,0
63.0,0,5.0,3.47583,2,0,4.26125,0,74.0,48,73,1,0
24.45,1,10.0,2.87718,0,0,3.91625,0,71.0,47,81,1,2
36.24,3,6.0,2.99634,1,1,1.18875,1,43.0,58,103,0,1
39.63,2,10.0,3.39643,2,1,4.00125,1,35.0,51,95,1,0
45.03,0,10.0,2.95785,0,0,4.12625,1,61.0,50,82,1,0
108.12,1,3.0,3.17325,2,0,4.0775,0,40.0,46,59,0,0
10.94,0,8.0,2.78327,0,3,4.4075,2,95.0,51,73,1,2
45.55,2,3.0,3.36086,2,10,3.9275,0,89.0,50,78,0,0
107.84,4,10.0,3.00961,1,1,4.11625,0,81.0,49,75,0,0
36.17,0,3.0,3.01981,1,13,3.90625,1,52.0,54,79,1,2
35.42,4,10.0,2.80182,0,0,2.28125,0,103.0,49,69,1,2
24.81,0,6.0,3.24407,2,2,4.59,3,51.0,51,90,1,0
25.42,2,10.0,3.02086,0,0,2.64375,1,46.0,48,71,1,2
62.81,1,4.0,2.83951,2,0,3.10125,0,56.0,48,68,1,0
10.98,3,0.0,2.76251,0,1,3.92625,1,42.0,43,53,0,2
37.91,2,10.0,2.7399,1,0,3.39375,1,50.0,46,70,1,2
74.9,0,10.0,2.90429,2,0,1.19375,1,36.0,58,80,1,1
37.16,4,0.0,2.71868,2,11,1.33,2,110.0,58,75,0,1
47.42,3,2.0,3.21633,1,0,4.30875,0,35.0,46,70,1,0
108.53,1,0.0,3.15158,1,1,3.61125,0,49.0,54,93,0,0
18.91,2,3.0,2.51681,0,0,2.49,0,76.0,53,68,1,2
57.84,1,2.0,3.01497,2,10,4.18625,0,79.0,46,60,1,2
6.17,0,10.0,2.64499,0,9,2.4675,1,72.0,51,85,1,2
107.2,0,5.0,2.98849,1,0,3.18875,0,70.0,57,72,0,0
91.78,4,0.0,3.14439,1,0,3.32625,3,42.0,56,79,0,0
33.55,1,10.0,2.62907,0,1,2.67,1,69.0,51,80,1,2
45.82,1,1.0,2.64712,0,1,3.71,0,40.0,48,62,0,2
80.43,2,10.0,2.98636,2,0,2.88625,0,43.0,54,81,0,0
19.52,2,10.0,2.82412,0,1,2.455,0,78.0,50,78,0,2
62.26,0,9.0,2.85269,2,1,3.10625,0,77.0,49,65,0,0
79.9,1,10.0,2.99708,1,0,3.6325,0,105.0,50,86,1,0
11.97,3,3.0,2.55095,0,3,1.58375,0,68.0,48,70,1,2
36.02,1,2.0,3.0773,0,0,3.4275,0,65.0,54,77,1,2
44.1,2,7.0,2.58226,0,0,2.28125,2,68.0,63,82,1,1
8.8,1,0.0,2.47881,0,0,4.33125,1,75.0,47,58,1,2
29.92,2,10.0,2.4141,2,1,2.31125,1,91.0,56,90,1,1
45.61,3,10.0,2.94341,0,0,4.2175,0,35.0,46,72,0,0
18.51,0,1.0,2.33443,1,0,1.51375,0,48.0,46,57,1,2
34.97,2,1.0,3.14881,2,0,3.9625,4,69.0,47,66,1,0
45.79,3,10.0,2.7789,2,0,1.4025,1,33.0,54,89,0,1
62.52,1,10.0,2.81439,1,0,2.82375,0,40.0,54,87,0,1
17.56,1,2.0,2.61548,0,0,3.4075,3,92.0,51,72,1,2
32.02,3,4.0,2.88725,2,0,2.93625,2,78.0,50,69,1,0
63.54,0,8.0,3.08004,2,0,3.675,1,102.0,53,83,0,0
35.22,3,2.0,2.5371,2,7,3.7275,0,58.0,49,69,1,2
34.58,1,10.0,2.70057,2,1,4.09125,0,78.0,45,72,1,2
36.98,1,6.0,2.62624,1,1,3.2,1,65.0,55,95,0,1
31.1,1,10.0,2.90161,0,0,3.11875,0,57.0,53,110,0,1
25.08,2,9.0,2.83499,1,3,2.36,3,42.0,48,84,1,2
50.9,4,3.0,2.97487,1,0,1.84375,2,78.0,50,74,0,0
61.73,2,10.0,2.80332,2,0,1.75125,1,63.0,55,88,0,1
45.33,2,10.0,2.74575,1,0,2.4175,3,55.0,56,83,0,1
11.24,2,10.0,2.63234,0,0,1.9925,0,40.0,46,62,0,2
16.11,1,10.0,2.66016,1,0,4.18375,1,88.0,51,81,1,2
84.48,2,2.0,2.92497,1,0,1.84875,0,41.0,62,94,1,1
84.95,2,7.0,3.17413,2,0,2.9175,0,59.0,61,116,1,1
11.89,1,10.0,2.81874,1,3,1.0125,0,56.0,56,82,1,1
60.16,3,10.0,2.66748,2,0,3.2375,1,105.0,49,65,1,0
51.29,1,8.0,2.87833,2,1,1.58625,1,95.0,52,82,0,1
64.52,3,10.0,2.77182,2,0,1.46,1,75.0,51,76,1,0
21.15,1,10.0,2.80581,1,0,3.06625,0,94.0,47,65,1,2
33.49,1,0.0,2.9317,2,0,4.01875,1,48.0,57,89,0,1
38.98,2,6.0,2.5905,1,0,2.89375,0,70.0,49,72,1,2
84.07,1,8.0,3.35347,1,0,2.6375,3,59.0,63,109,0,1
19.84,1,2.0,3.02804,0,0,1.9325,0,81.0,50,79,1,2
15.06,2,10.0,2.76547,0,0,1.91,0,40.0,47,80,1,2
55.64,3,3.0,2.84912,2,0,3.18,1,87.0,46,64,0,0
106.72,0,10.0,2.95632,2,2,1.72,0,50.0,60,88,1,1
5.11,4,6.0,2.52718,0,0,3.54875,1,63.0,46,64,1,2
57.82,3,6.0,2.87645,1,0,1.34,0,41.0,61,76,1,1
33.22,1,10.0,2.63724,1,1,4.57,1,76.0,52,84,0,2
67.66,1,0.0,2.83686,1,1,3.0275,1,34.0,52,72,1,0
87.6,3,1.0,2.89215,1,0,3.9475,1,58.0,49,67,1,0
20.74,3,2.0,2.81731,0,0,2.505,1,70.0,54,91,1,1
17.56,3,3.0,3.39855,1,4,3.665,0,62.0,51,83,1,0
59.4,2,10.0,3.03413,1,3,0.56125,0,88.0,56,87,1,1
26.97,3,8.0,2.9654,0,4,3.87875,1,38.0,49,66,0,2
17.55,1,6.0,2.87254,1,4,2.5425,2,35.0,59,86,0,1
39.99,1,10.0,2.71202,2,0,2.08375,1,61.0,54,67,1,2
40.07,1,10.0,2.57785,2,0,3.715,0,33.0,47,68,1,2
11.97,3,3.0,2.46694,0,0,4.28125,1,36.0,47,62,1,2
59.22,0,7.0,2.89881,0,1,2.98,1,59.0,55,77,1,1
49.82,3,1.0,2.94229,2,0,2.8975,1,82.0,50,66,1,0
32.28,0,10.0,2.91972,0,0,3.485,0,62.0,49,70,0,2
44.43,2,4.0,2.73682,2,0,2.13625,1,38.0,54,90,0,1
67.45,3,4.0,2.95118,1,1,1.45375,3,49.0,62,102,0,1
16.5,2,10.0,2.87047,2,3,1.56,1,52.0,72,101,1,1
31.34,3,10.0,2.95786,2,0,3.11,0,59.0,49,81,1,0
13.9,3,10.0,2.89648,0,3,2.48,0,42.0,55,79,0,2
37.27,1,6.0,2.85683,0,0,3.84625,0,48.0,45,64,1,2
53.3,3,2.0,2.68552,1,0,1.265,0,34.0,49,79,1,2
72.89,2,10.0,3.0783,2,2,3.3325,0,37.0,57,113,1,1
35.46,1,10.0,2.81023,1,1,1.6675,0,86.0,72,104,1,1
26.87,1,4.0,2.86221,0,0,2.8725,0,56.0,55,77,0,2
77.1,1,3.0,3.02266,2,0,2.91875,1,69.0,62,106,1,1
87.14,4,3.0,2.92146,2,1,1.745,1,75.0,53,104,1,1
